,ID,Salary,DOJ,DOL,Designation,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
train,319385,400000.00,6/1/12 0:00,present,system engineer,Mumbai,f,9/24/90 0:00,82.2,cbse,2008,77,cbse,5071,2,B.Tech/B.E.,industrial & production engineering,91.2,5071,0,Andhra Pradesh,2012,524,555,405,0.4143374264,-1,-1,-1,366,-1,-1,-1,-0.7264,-0.6693,-0.8157,-0.05527,-0.4455
train,345175,2000000.00,10/1/12 0:00,present,software test engineer,bangalore,m,10/13/87 0:00,79.16,0,2004,77.4,0,55,2,B.Tech/B.E.,computer engineering,62.4,55,0,Uttar Pradesh,2010,505,635,525,0.7656735812,485,-1,-1,-1,-1,-1,-1,-2.1175,0.1498,0.8171,-0.17277,-0.9194
train,577489,310000.00,8/1/13 0:00,8/1/14 0:00,management trainee,Ahmednagar,m,10/17/91 0:00,86,icse,2009,88,isc,11792,2,B.Tech/B.E.,mechanical engineering,77.75,11792,0,Uttar Pradesh,2013,675,665,575,0.5358628195,-1,-1,-1,393,-1,-1,-1,1.5644,1.2114,-0.6048,-0.3612,0.0973
train,32133,150000.00,6/1/10 0:00,6/1/12 0:00,electrical design engineer,Pune,m,7/22/89 0:00,72,ssc,2006,67,ssc,367,2,B.Tech/B.E.,electrical engineering,59.8,367,1,Maharashtra,2009,525,505,445,0.538386893,355,333,-1,-1,-1,-1,-1,0.51,0.3448,1.1074,0.4148,0.1864
train,94788,300000.00,6/1/13 0:00,4/1/15 0:00,project engineer,Bangalore,f,4/8/88 0:00,96,"stjosephs girls higher sec school,dindigul",2005,92,"srv girls higher sec school,rasipuram",4239,2,B.Tech/B.E.,electronics and communication engineering,80,4239,1,Tamil Nadu,2009,315,475,565,0.6944793277,265,366,-1,-1,-1,-1,-1,-1.3447,-0.7473,-1.5051,1.1199,-1.3539
train,963058,335000.00,9/1/14 0:00,4/1/15 0:00,programmer analyst,Hyderabad,m,1/6/93 0:00,85.33,state board,2010,89.7,"intermediate board of education,andhra pradesh",1237,2,B.Tech/B.E.,computer science & engineering,74.3,1237,1,Telangana,2014,605,500,595,0.3565364877,415,-1,346,-1,-1,-1,-1,-1.1644,0.7119,0.7785,-1.7556,0.2889
train,439791,350000.00,4/1/13 0:00,present,senior software engineer,Noida,m,7/15/90 0:00,76.8,0,2008,67.2,0,83,2,B.Tech/B.E.,information technology,60.08,83,0,Uttar Pradesh,2012,525,365,565,0.6359787565,445,-1,-1,-1,-1,-1,-1,0.0464,0.1498,-0.1626,0.5323,-0.4455
train,325567,380000.00,3/1/13 0:00,present,programmer analyst,kolkata,m,1/26/90 0:00,77,0,2007,73.4,0,252,2,B.Tech/B.E.,information technology,77.07,252,1,West Bengal,2012,355,455,515,0.5632678237,425,-1,-1,-1,-1,-1,-1,-0.881,-1.5273,-1.0697,0.40413,-1.5513
train,1133187,150000.00,9/1/14 0:00,4/1/15 0:00,technical support engineer,Bangalore,m,4/18/91 0:00,60,cbse,2009,55,state board,15157,2,B.Tech/B.E.,electronics and communication engineering,52,15157,1,Karnataka,2014,360,470,440,0.05316030528,-1,196,-1,-1,-1,-1,-1,-0.3027,-0.6201,-0.4511,-0.4879,-1.0524
train,1293728,330000.00,2/1/15 0:00,present,project engineer,Bangalore,m,2/28/92 0:00,91.4,cbse,2010,87.8,cbse,13439,2,B.Tech/B.E.,electronics and communication engineering,77,13439,0,Jharkhand,2015,525,460,510,0.6493897148,565,356,376,-1,-1,-1,-1,-2.1698,0.5454,-0.1437,0.1459,-0.2859
train,503221,350000.00,8/1/13 0:00,present,continuous improvement engineer,Nashik,m,10/12/90 0:00,87.4,cbse,2008,81.2,cbse,5111,2,B.Tech/B.E.,mechanical engineering,75,5111,0,Maharashtra,2013,465,655,575,0.7145293632,-1,-1,-1,435,-1,-1,-1,-0.5719,0.8128,0.5269,1.2374,-0.643
train,358389,140000.00,8/1/12 0:00,4/1/14 0:00,technical support engineer,New delhi,m,12/27/89 0:00,73,cbse,2007,63,bseb,167,2,B.Tech/B.E.,electronics and communication engineering,67.69,167,0,Haryana,2012,515,575,575,0.8246664007,-1,400,-1,-1,-1,-1,-1,-1.3447,-0.1232,-2.2308,0.3561,0.3444
train,864186,515000.00,8/1/13 0:00,present,software engineer,-1,m,3/10/92 0:00,84.8,cbse,2009,84.6,cbse,7557,2,B.Tech/B.E.,computer science & engineering,80.8,7557,1,Delhi,2013,625,585,795,0.9113952784,575,-1,500,-1,-1,-1,-1,0.2718,0.3789,0.9322,-0.1076,-1.4356
train,479805,200000.00,6/1/13 0:00,present,process advisor,Chennai,f,3/9/91 0:00,78,0,2008,80,0,4042,2,B.Tech/B.E.,computer engineering,78,4042,0,Tamil Nadu,2012,495,495,435,0.6359787565,445,-1,-1,-1,-1,-1,-1,-1.1901,1.1248,-0.1988,2.1774,0.6603
train,330078,230000.00,9/1/14 0:00,4/1/15 0:00,customer service representative,Hyderabad,m,12/20/89 0:00,73,cbse,2008,83,board of intermediate,11183,2,B.Tech/B.E.,information technology,64,11183,1,Telangana,2012,475,335,345,0.3775514194,375,-1,-1,-1,-1,-1,-1,-0.4173,0.0328,-0.344,0.5323,-0.7615
train,1066680,325000.00,8/1/14 0:00,present,system engineer,-1,m,9/12/91 0:00,86.4,cbse,2009,86.2,cbse,1906,2,B.Tech/B.E.,electronics and communication engineering,81.4,1906,1,West Bengal,2014,720,630,750,0.3387863472,485,292,-1,-1,-1,228,-1,1.2772,1.0449,0.7785,-1.2486,0.6721
train,806424,350000.00,12/1/14 0:00,present,software engineer,Gurgaon,m,9/7/92 0:00,85.4,cbse,2010,67.8,cbse,11759,2,B.Tech/B.E.,computer science & engineering,82.67,11759,0,Uttarakhand,2014,695,535,485,0.6226429158,495,-1,407,-1,-1,-1,-1,-2.0262,0.0459,0.4711,-0.995,0.2889
train,676401,105000.00,9/1/13 0:00,7/1/14 0:00,software developer,Bhopal,f,7/28/91 0:00,78.6,state board,2009,66.6,state board,547,2,B.Tech/B.E.,information technology,74.3,547,0,Madhya Pradesh,2013,345,440,545,0.6359787565,445,-1,-1,-1,-1,-1,-1,-1.308,-0.9531,-0.2974,1.1601,-1.0524
train,1143459,275000.00,7/1/14 0:00,present,software engineer,Bhubaneswar,m,6/4/91 0:00,80.42,icse,2010,65.16,state board,5026,2,B.Tech/B.E.,computer science & engineering,74,5026,0,Orissa,2014,710,480,535,0.1447898895,465,-1,284,-1,-1,-1,-1,1.4208,0.8784,0.7785,-0.1076,0.2889
train,347313,260000.00,12/1/12 0:00,3/1/15 0:00,software engineer,New Delhi,m,5/4/91 0:00,58,up board,2008,65,up board,12478,2,B.Tech/B.E.,information technology,69.8,12478,0,Uttar Pradesh,2012,445,385,405,0.7040904121,465,-1,-1,-1,-1,-1,-1,1.9011,1.6708,1.4702,-0.2902,0.9763
train,1034772,300000.00,11/1/14 0:00,present,software engineer,-1,m,7/28/91 0:00,84.5,state board,2009,74,state board,7010,2,B.Tech/B.E.,electronics and communication engineering,79.8,7010,1,West Bengal,2013,535,590,605,0.3387863472,365,292,-1,-1,-1,-1,-1,0.5591,-0.1206,0.6248,0.9066,-0.6692
train,1125683,175000.00,5/1/14 0:00,1/1/15 0:00,data analyst,Hyderabad,f,7/9/92 0:00,91.3,state board,2009,90.7,state board,9812,2,B.Tech/B.E.,electronics and communication engineering,71.65,9812,1,Telangana,2013,525,520,450,0.2073921697,455,260,-1,-1,-1,-1,-1,1.1336,0.2124,1.0859,-0.7415,-0.0943
train,786404,350000.00,9/1/13 0:00,4/1/15 0:00,etl developer,Hyderabad,m,5/23/92 0:00,82.33,state board,2009,84,state board,11788,2,B.Tech/B.E.,computer science & engineering,68.6,11788,0,Andhra Pradesh,2013,605,595,720,0.9421165515,575,-1,-1,-1,-1,-1,-1,-0.8772,0.0459,0.4711,1.4136,0.6721
train,847671,200000.00,8/1/13 0:00,10/1/14 0:00,sales and service engineer,-1,m,5/12/91 0:00,71,state board,2007,69,state board,14910,2,B.Tech/B.E.,electronics and communication engineering,64.28,14910,0,Uttar Pradesh,2012,500,460,545,0.9432721579,-1,452,-1,-1,-1,420,-1,-0.4463,0.2124,0.01,-0.6147,1.0554
train,247078,275000.00,3/1/12 0:00,5/1/14 0:00,project engineer,-1,f,7/13/88 0:00,78,0,2006,53,0,6570,2,B.Tech/B.E.,computer engineering,65,6570,0,Orissa,2011,475,485,525,0.6000571823,435,-1,-1,-1,-1,-1,-1,0.6646,0.8128,-0.344,-0.2902,0.1864
train,312286,395000.00,12/1/11 0:00,present,programmer analyst,Hyderabad,f,8/7/90 0:00,83.3,ssc,2007,80.1,intermediate board examination,9769,2,B.Tech/B.E.,computer engineering,63.5,9769,1,Telangana,2011,485,315,405,0.4883479768,405,-1,-1,-1,-1,-1,-1,0.6646,0.9688,1.4267,0.8457,1.3976
train,692823,520000.00,10/1/13 0:00,present,technical support specialist,Hyderabad,m,1/29/92 0:00,78.25,state board,2009,74.6,state board,5216,2,B.Tech/B.E.,information technology,78.6,5216,1,West Bengal,2013,720,450,590,0.8646854134,525,-1,-1,-1,-1,-1,-1,-0.8772,0.7119,0.4711,-0.1076,0.6721
train,272917,80000.00,10/1/12 0:00,3/1/13 0:00,software developer,Indore,m,8/26/89 0:00,81,cbse,2006,61,cbse,3725,2,B.Tech/B.E.,information technology,67.5,3725,0,Madhya Pradesh,2011,445,465,475,0.5632678237,425,-1,-1,-1,-1,-1,-1,-0.5719,-0.5913,0.8171,0.2973,-0.1295
train,662991,215000.00,10/1/13 0:00,1/1/15 0:00,project manager,Gurgaon,m,7/18/89 0:00,74,cbse,2006,64,state board,405,2,B.Tech/B.E.,information technology,76,405,0,Uttar Pradesh,2011,510,400,324,-1,-1,-1,-1,-1,-1,-1,-1,0.5591,-0.4536,1.0859,-2.0092,-0.6692
train,607667,275000.00,7/1/13 0:00,6/1/14 0:00,training specialist,-1,f,3/31/91 0:00,95.52,karnataka secondary education examination board,2009,94.33,"department of pre-university education, bangalore",316,2,B.Tech/B.E.,information technology,83.63,316,1,Karnataka,2013,580,620,620,0.9682374959,605,-1,-1,-1,-1,-1,-1,0.2718,1.0449,0.1637,-0.6147,0.6721
train,962376,700000.00,7/1/14 0:00,present,product manager,Jaipur,m,1/3/92 0:00,87.4,cbse,2009,74,state board,436,1,M.Tech./M.E.,polymer technology,72.79,436,0,Uttarakhand,2014,625,450,655,-1,-1,-1,-1,-1,-1,-1,-1,-0.3027,-0.4536,-0.6048,-0.8682,0.0973
train,1088773,240000.00,2/1/14 0:00,present,software engineer,-1,f,12/14/91 0:00,86.6,cbse,2009,78.8,cbse,10236,2,B.Tech/B.E.,electronics & telecommunications,72.8,10236,0,Karnataka,2013,735,505,450,0.2792585116,515,-1,-1,-1,-1,292,-1,-0.0154,-0.6201,-0.6048,-0.6147,-0.6692
train,425274,300000.00,7/1/13 0:00,present,system engineer,Greater Noida,m,8/9/92 0:00,63,up board,2008,61,up board,75,2,B.Tech/B.E.,computer engineering,70.64,75,0,Uttar Pradesh,2012,415,365,465,0.8841225116,535,-1,-1,-1,-1,-1,-1,0.8192,1.4368,0.5269,-1.1128,0.0679
train,1152429,340000.00,5/1/14 0:00,present,software developer,Pune,m,5/8/89 0:00,70,state board,2007,56,state board,1995,2,B.Tech/B.E.,computer science & engineering,54,1995,1,Maharashtra,2013,615,580,405,0.8422483223,515,-1,469,-1,-1,-1,-1,-0.7335,0.8784,0.3174,-1.6289,-0.2859
train,324284,520000.00,5/1/13 0:00,9/1/14 0:00,technical support engineer,Pune,f,1/21/91 0:00,87.86,maharashtra board,2008,74.67,stmiras college for girls,7236,2,B.Tech/B.E.,electronics & telecommunications,62.33,7236,1,Maharashtra,2012,545,595,435,0.538386893,-1,333,-1,-1,-1,393,-1,-0.1082,1.0858,-0.3803,-0.2902,0.5024
train,668771,300000.00,10/1/13 0:00,present,operations manager,Bangalore,m,10/31/91 0:00,84.8,cbse,2009,75,cbse,6566,2,B.Tech/B.E.,mechanical engineering,61.8,6566,1,Karnataka,2013,640,460,455,0.3045109137,445,-1,-1,340,-1,-1,-1,-0.3027,0.8784,-0.2974,0.3995,0.2889
train,244735,325000.00,7/1/11 0:00,present,system administrator,Bangalore,f,6/22/86 0:00,68,icse,2006,62,mbose,2634,2,B.Tech/B.E.,electronics and communication engineering,58.43,2634,1,Karnataka,2011,495,475,445,0.538386893,-1,333,-1,-1,-1,286,-1,-0.1082,-0.9033,-1.3599,0.7673,-0.4455
train,619605,475000.00,2/1/14 0:00,present,assistant manager,Bellary,m,6/28/91 0:00,89.4,cbse,2009,75.6,state board,275,2,B.Tech/B.E.,mechanical engineering,82.53,275,1,Karnataka,2013,590,610,635,0.8408409688,-1,-1,-1,473,-1,-1,-1,0.8463,0.0459,0.7785,-1.8824,0.4805
train,34238,570000.00,9/1/10 0:00,present,assistant manager,-1,m,2/9/86 0:00,60,up board,2005,71,up board,285,1,B.Tech/B.E.,mechanical engineering,73.4,285,0,Punjab,2010,555,515,635,-1,125,333,-1,-1,-1,-1,-1,-0.2628,0.0328,-0.1988,-0.9953,0.3444
train,514731,445000.00,2/1/13 0:00,present,software engineer,Bangalore,m,9/18/90 0:00,63,cbse,2008,62,cbse,8504,2,B.Tech/B.E.,information technology,79,8504,1,Rajasthan,2012,580,535,455,0.8841225116,535,-1,-1,-1,-1,-1,-1,-0.2628,0.0328,-1.4688,1.9424,-1.3934
train,47476,205000.00,5/1/14 0:00,present,oracle dba,Chennai,f,6/10/88 0:00,94.7,cbse,2006,94.7,state board,434,2,B.Tech/B.E.,electronics and communication engineering,67,434,1,Tamil Nadu,2010,525,585,535,0.8246664007,-1,400,-1,-1,-1,-1,-1,-0.7264,0.9688,-1.0697,0.5323,-0.1295
train,1082927,340000.00,6/1/14 0:00,present,application developer,Noida,m,11/4/92 0:00,90.4,state board,2010,78.2,state board,5216,2,B.Tech/B.E.,electronics and instrumentation engineering,87.8,5216,1,West Bengal,2013,630,625,560,0.8498027135,-1,-1,-1,-1,-1,-1,-1,1.5644,1.5444,1.547,-2.5163,0.6721
train,600997,240000.00,3/1/13 0:00,1/1/14 0:00,software engineer,Gurgaon,f,8/22/90 0:00,83,cbse,2009,74,cbse,272,2,B.Tech/B.E.,computer engineering,67,272,0,Punjab,2013,605,585,590,0.7040904121,465,-1,-1,-1,-1,-1,-1,1.5644,1.2114,1.547,-0.995,0.4805
train,745903,300000.00,9/1/13 0:00,present,software engineer,Hyderabad,m,3/21/91 0:00,89.5,state board,2009,92.2,bie,9164,2,B.Tech/B.E.,computer science & engineering,75.12,9164,1,Telangana,2013,545,580,795,0.9421165515,575,-1,-1,-1,-1,-1,-1,0.1282,1.3779,1.3933,-2.136,1.0554
train,239868,510000.00,1/1/12 0:00,4/1/15 0:00,systems engineer,Bangalore,f,5/28/89 0:00,97.12,karnataka secondary education examination board,2007,90.33,department of pre-university education(government of karnataka),1866,2,B.Tech/B.E.,computer engineering,82.84,1866,1,Karnataka,2011,505,555,555,0.8646854134,525,-1,-1,-1,-1,-1,-1,0.9737,0.3448,0.672,-0.5253,0.3444
train,922592,180000.00,11/1/14 0:00,6/1/14 0:00,staffing recruiter,Noida,m,8/20/92 0:00,79,icse,2010,78,icse,272,2,B.Tech/B.E.,electronics and communication engineering,73,272,0,Punjab,2014,485,610,575,0.4935963873,495,324,-1,-1,-1,-1,-1,-2.0262,0.3789,-1.2196,0.3995,0.6721
train,937943,145000.00,9/1/14 0:00,present,technical recruiter,NOIDA,m,7/1/91 0:00,68.2,cbse,2010,60,cbse,17782,2,B.Tech/B.E.,information technology,72.23,17782,0,Uttarakhand,2014,440,340,340,0.3565364877,415,-1,346,-1,-1,-1,-1,-2.1698,-0.1206,0.3174,-0.8682,-0.2859
train,334686,410000.00,7/1/12 0:00,4/1/15 0:00,java software engineer,-1,m,9/4/90 0:00,71.2,cbse,2008,60.8,cbse,1622,2,B.Tech/B.E.,computer engineering,72.2,1622,0,Madhya Pradesh,2012,485,525,515,0.8431237267,515,-1,-1,-1,-1,-1,-1,-1.0355,-0.7863,-1.1422,-0.52527,-0.9194
train,1262255,315000.00,3/1/15 0:00,present,software engineer,Pune,m,4/28/91 0:00,75,cbse,2009,70,cbse,5812,2,B.Tech/B.E.,computer science & engineering,65,5812,1,Rajasthan,2014,640,565,465,0.6226429158,525,-1,407,-1,-1,-1,-1,-0.0154,0.3789,1.2396,0.5262,0.6721
train,300968,450000.00,6/1/11 0:00,7/1/14 0:00,software engineer,Bangalore,m,5/23/89 0:00,93.94,education board of kerala,2007,81.4,cbse,835,2,B.Tech/B.E.,computer engineering,72.44,835,0,Kerala,2011,635,605,535,0.9609030872,595,-1,-1,-1,-1,-1,-1,0.2009,0.3448,0.2366,-1.3478,-0.2875
train,1238094,145000.00,11/1/09 0:00,7/1/11 0:00,assistant programmer,-1,m,9/9/90 0:00,59.57,state board,2007,55,state board,272,2,M.Tech./M.E.,computer science & engineering,88,272,0,Punjab,2015,395,540,535,0.9922591893,665,-1,-1,-1,-1,-1,-1,0.4155,-0.4536,-1.8344,-0.8682,-0.0943
train,1154787,335000.00,3/1/14 0:00,4/1/15 0:00,programmer analyst,Chennai,f,9/15/92 0:00,86.3,state board,2009,71.8,state board,5256,2,B.Tech/B.E.,instrumentation and control engineering,86.3,5256,0,Orissa,2013,535,485,595,0.4935963873,585,324,-1,-1,-1,-1,-1,0.2718,1.2114,0.4711,0.1459,1.0554
train,244386,225000.00,4/1/12 0:00,1/1/13 0:00,quality associate,Bangalore,m,10/9/88 0:00,71,icse,2007,62,cbse,3427,2,B.Tech/B.E.,electronics and communication engineering,70,3427,0,Orissa,2011,475,385,545,0.3760595867,425,300,-1,-1,-1,393,-1,0.51,-0.4353,-0.344,0.2973,-0.1295
train,436253,200000.00,3/1/13 0:00,3/1/14 0:00,it analyst,Gurgaon,f,10/29/89 0:00,84.14,cbse,2007,73.61,cbse,48,1,B.Tech/B.E.,computer engineering,76.09,48,1,Delhi,2012,445,475,595,0.7935806145,495,-1,-1,-1,-1,-1,-1,-1.8083,0.0328,-1.0697,-0.0552,-0.7615
train,649530,350000.00,2/1/14 0:00,present,system engineer,Pune,m,1/25/91 0:00,80.53,state board,2008,80.5,state board,8743,2,B.Tech/B.E.,information technology,58.61,8743,0,Maharashtra,2013,645,795,675,0.9837499665,635,-1,-1,-1,-1,-1,-1,-0.4463,1.3779,0.9322,-0.995,0.8637
train,991880,200000.00,12/1/14 0:00,5/1/15 0:00,sales engineer,Noida,m,7/24/91 0:00,73,cbse,2009,64,cbse,9737,2,B.Tech/B.E.,electronics and electrical engineering,61,9737,0,Uttar Pradesh,2014,430,370,450,0.5573895056,-1,388,-1,-1,420,-1,-1,0.1282,-0.9531,0.1637,0.653,0.2889
train,622495,325000.00,7/1/13 0:00,present,assistant manager,Ludhiana,m,12/26/90 0:00,81.9,cbse,2008,72,cbse,272,2,B.Tech/B.E.,information technology,71.9,272,0,Punjab,2012,465,415,485,-1,-1,-1,-1,-1,-1,-1,-1,-1.308,-0.4536,0.01,0.1459,-1.0524
train,988691,120000.00,2/1/14 0:00,8/1/14 0:00,web developer,New Delhi ,m,10/24/92 0:00,63.6,cbse,2010,53.6,cbse,14720,2,B.Tech/B.E.,computer science & engineering,60,14720,0,Uttar Pradesh,2014,545,395,465,0.8194165298,505,-1,-1,-1,-1,-1,-1,1.1336,1.2114,0.7785,-0.3612,0.6721
train,256138,500000.00,3/1/11 0:00,4/1/15 0:00,software engineer,Hyderabad,m,8/21/86 0:00,72.5,0,2004,72.4,0,1699,2,MCA,computer application,77.43,1699,0,Andhra Pradesh,2010,505,615,605,0.8646854134,525,-1,-1,-1,-1,-1,-1,0.3555,-1.5273,0.8171,2.2949,0.6603
train,309289,385000.00,9/1/12 0:00,4/1/15 0:00,software developer,Mumbai,f,1/11/90 0:00,84,cbse,2008,79,cbse,5904,2,B.Tech/B.E.,computer engineering,75.99,5904,0,Uttar Pradesh,2012,485,415,615,0.7935806145,495,-1,-1,-1,-1,-1,-1,-0.4173,0.5008,0.5269,0.1798,-0.1295
train,458867,320000.00,7/1/14 0:00,present,java developer,Pune,m,4/29/92 0:00,66.16,up board,2008,58.4,up board,7627,2,B.Tech/B.E.,information technology,65.9,7627,0,Uttar Pradesh,2013,575,505,565,0.8194165298,505,-1,-1,-1,-1,-1,-1,1.9011,0.2668,0.3817,-0.9953,0.3444
train,407662,360000.00,6/1/13 0:00,6/1/15 0:00,java software engineer,Bangalore,m,12/31/89 0:00,81.6,cbse,2007,74.6,cbse,3801,2,B.Tech/B.E.,information technology,77.1,3801,0,Karnataka,2012,455,565,404,0.9014895714,545,-1,-1,-1,-1,-1,-1,-0.1082,0.8518,-0.1626,-0.7603,-0.2875
train,927414,120000.00,10/1/14 0:00,9/1/15 0:00,web developer,Hyderabad,f,6/1/90 0:00,59,state board,2007,69,state board,5015,2,MCA,computer application,74,5015,0,Andhra Pradesh,2014,275,415,310,0.08005528134,315,-1,253,-1,-1,-1,-1,0.5591,0.2124,0.3174,0.5262,-0.2859
train,552651,325000.00,2/1/14 0:00,7/1/14 0:00,system engineer,-1,f,6/10/90 0:00,86.5,cbse,2008,63.4,cbse,13128,2,B.Tech/B.E.,information technology,68.89,13128,1,Delhi,2013,405,450,500,0.3565364877,455,-1,346,-1,-1,-1,-1,0.1282,-0.6201,-0.7585,-0.4879,0.0973
train,455057,240000.00,12/1/12 0:00,6/1/14 0:00,asp.net developer,Bangalore,m,6/7/90 0:00,68,cbse,2008,61,cbse,272,2,B.Tech/B.E.,computer engineering,55,272,0,Punjab,2012,435,545,455,0.3775514194,375,-1,-1,-1,-1,-1,-1,0.0464,1.2028,1.2525,0.8848,1.2923
train,1115290,110000.00,4/1/14 0:00,7/1/14 0:00,quality controller,pune,m,7/15/91 0:00,72,cbse,2009,60,cbse,221,2,B.Tech/B.E.,electronics engineering,62.5,221,0,Maharashtra,2013,560,370,370,0.6493897148,-1,356,346,-1,-1,-1,-1,0.2718,0.3789,0.1637,-0.8682,-0.6692
train,1232895,300000.00,1/1/15 0:00,present,business analyst,Gurgaon,f,3/17/93 0:00,72,cbse,2010,60,cbse,75,2,B.Tech/B.E.,computer science & engineering,72.5,75,0,Uttar Pradesh,2014,500,360,510,0.3565364877,405,-1,346,-1,-1,-1,-1,0.8463,1.7109,1.2396,-1.3753,1.4386
train,995359,220000.00,12/1/14 0:00,4/1/15 0:00,customer service representative,Hyderabad,f,1/29/92 0:00,83.5,board of ssc,2009,83.8,board of intermediate,9557,2,B.Tech/B.E.,computer science & engineering,71.7,9557,1,Telangana,2013,465,470,475,0.1447898895,485,-1,284,-1,-1,-1,-1,-0.0154,1.0449,-0.1437,-0.4879,0.8637
train,353118,415000.00,8/1/13 0:00,present,systems engineer,Bangalore,m,8/9/90 0:00,79.86,kseeb,2008,78.86,dpue,1436,2,B.Tech/B.E.,computer engineering,74.44,1436,0,Karnataka,2012,375,555,555,0.6707431514,455,-1,-1,-1,-1,-1,-1,1.3215,0.3448,-0.4891,-1.2303,0.3444
train,337629,300000.00,4/1/13 0:00,4/1/15 0:00,java developer,Coimbatore,f,9/10/90 0:00,93.5,0,2008,95.3,0,3076,2,B.Tech/B.E.,computer engineering,92.3,3076,0,Tamil Nadu,2012,415,575,405,0.9872070859,645,-1,-1,-1,-1,-1,-1,-0.5719,1.0858,-0.9245,0.06223,0.1864
train,277278,300000.00,8/1/11 0:00,present,maintenance engineer,Muzaffarnagar,m,4/18/90 0:00,62.5,up board,2007,68,up board,75,2,B.Tech/B.E.,electronics and electrical engineering,74,75,0,Uttar Pradesh,2011,395,285,475,0.9952657057,-1,533,-1,-1,-1,-1,-1,-0.1082,-0.5913,-0.1988,-0.0552,-0.2875
train,1218624,345000.00,2/1/15 0:00,present,java developer,Gurgaon,m,1/30/92 0:00,74.8,cbse,2009,68,cbse,96,2,B.Tech/B.E.,information technology,69,96,0,Sikkim,2014,570,395,475,0.3565364877,475,-1,346,-1,-1,-1,-1,-0.0154,0.8784,-0.7585,0.3995,-0.4776
train,121950,515000.00,1/1/11 0:00,present,senior software developer,Mumbai,f,6/20/89 0:00,84,0,2006,86,0,233,2,B.Tech/B.E.,computer engineering,64,233,1,Maharashtra,2010,535,465,515,0.6000571823,435,-1,-1,-1,-1,-1,-1,-1.8083,-0.2793,-0.344,-0.5253,-1.0774
train,814230,120000.00,9/1/14 0:00,1/1/15 0:00,client services associate,-1,m,8/13/89 0:00,57,cbse,2009,64,nios,13210,2,B.Tech/B.E.,electronics and communication engineering,65.8,13210,0,Uttar Pradesh,2013,485,495,575,0.9762925609,-1,484,-1,-1,-1,420,-1,-0.8772,-0.4536,0.6248,0.7798,-0.8608
train,1083098,400000.00,9/1/14 0:00,present,graduate engineer trainee,Pune ,m,4/22/92 0:00,73.2,cbse,2010,72,cbse,2921,2,B.Tech/B.E.,electronics and communication engineering,82.5,2921,0,West Bengal,2014,640,625,585,0.8816200695,475,420,-1,-1,-1,-1,-1,-0.0154,0.3789,0.1637,-0.6147,-0.2859
train,62159,860000.00,4/1/10 0:00,3/1/15 0:00,senior software engineer,bangalore,m,10/22/87 0:00,60,0,2005,76.44,0,5342,2,B.Tech/B.E.,computer engineering,71.22,5342,0,Madhya Pradesh,2009,455,535,555,0.9522455729,585,-1,-1,-1,-1,-1,-1,-1.1901,-0.4353,0.8171,0.8848,0.6603
train,468083,100000.00,12/1/12 0:00,present,mis executive,BHOPAL,m,5/16/89 0:00,71.4,0,2008,78.66,0,11143,2,B.Tech/B.E.,computer engineering,68,11143,0,Madhya Pradesh,2012,385,405,465,0.5632678237,425,-1,-1,-1,-1,-1,-1,0.8192,-0.7473,-0.0537,-0.7603,0.3049
train,313158,520000.00,12/1/11 0:00,8/1/14 0:00,oracle dba,Gurgoan,m,2/5/91 0:00,69.5,up board,2008,64.4,up board,96,2,MCA,computer application,68,96,0,Sikkim,2013,435,575,415,-1,-1,-1,-1,-1,-1,-1,-1,0.9737,0.6178,-0.7068,-0.17277,0.3444
train,47767,800000.00,3/1/10 0:00,present,qa analyst,New Delhi,m,12/7/87 0:00,70.2,0,2005,75.6,0,13,1,B.Tech/B.E.,information technology,68.93,13,1,Delhi,2009,415,525,615,0.6359787565,445,-1,-1,-1,-1,-1,-1,-1.3447,-1.0593,-1.3599,0.8848,-0.9194
train,1263022,325000.00,2/1/15 0:00,5/1/15 0:00,software development engineer,Chennai,f,9/25/92 0:00,61,state board,2010,61,state board,1237,2,B.Tech/B.E.,information technology,75,1237,1,Telangana,2014,455,510,500,0.9522455729,585,-1,-1,-1,-1,-1,-1,0.2718,0.2124,0.3174,0.1459,-1.0524
train,340337,480000.00,5/1/13 0:00,present,software developer,Pune,m,7/27/90 0:00,80.93,maharashtra state board pune,2009,79.83,msbte pune,5230,2,B.Tech/B.E.,computer engineering,61.93,5230,0,Maharashtra,2012,385,445,275,0.5632678237,425,-1,-1,-1,-1,-1,-1,1.3215,0.6568,0.672,-0.0846,-0.9194
train,990568,320000.00,7/1/14 0:00,present,system engineer,Bangalore,f,5/14/92 0:00,82.7,state board,2010,91,state board,11788,2,B.Tech/B.E.,computer science & engineering,73,11788,0,Andhra Pradesh,2014,490,435,560,0.08005528134,425,-1,253,-1,-1,-1,-1,0.4155,1.2114,0.4711,-0.4879,0.2889
